评论ID,用户ID,评论内容,时间,日期,平台,点赞数,评论数,转发数
comment_004627,user_00926,这个休闲游戏平平，玩了但没上瘾。,2025-01-02 13:13:48,2025-01-02,芒果TV,325,107,40
comment_002553,user_00259,这位老师太很优秀了，支持！,2025-01-02 13:34:52,2025-01-02,知乎,401,140,11
comment_004261,user_00801,这个平台普通，能用但有缺陷。,2025-01-02 14:33:36,2025-01-02,知乎,398,41,79
comment_004621,user_00825,肯德基的服务很棒，很满意。,2025-01-02 14:44:22,2025-01-02,今日头条,626,121,165
comment_000749,user_00244,今天的火锅很惊艳，推荐大家尝试。,2025-01-02 15:27:56,2025-01-02,今日头条,555,108,175
comment_002254,user_00630,这个消息平淡，没什么特别的。,2025-01-02 15:30:49,2025-01-02,映客,339,79,97
comment_002006,user_00582,今天去了图书馆，很不爽，很失望。,2025-01-02 15:46:53,2025-01-02,微博,0,0,0
comment_005418,user_00076,这个APP很糟，体验很差。,2025-01-02 17:26:21,2025-01-02,快手,47,8,8
comment_001841,user_00839,这个颁奖典礼很糟糕，听了一遍就不想再听。,2025-01-02 17:41:29,2025-01-02,快手,37,1,0
comment_000129,user_00247,今天天气很出色，适合去了图书馆。,2025-01-02 17:50:29,2025-01-02,西瓜视频,135,57,12
comment_003132,user_00124,今天的火锅太棒了，推荐大家尝试。,2025-01-02 19:17:55,2025-01-02,知乎,916,255,6
comment_004524,user_00341,今天听了音乐，很完美。,2025-01-02 19:30:00,2025-01-02,爱奇艺,600,253,50
comment_002069,user_00670,这个图书馆很出色，下次还要来。,2025-01-02 19:31:06,2025-01-02,西瓜视频,450,6,84
comment_001996,user_00341,这个热点平平，没什么特别的。,2025-01-02 19:43:15,2025-01-02,映客,405,93,108
comment_003934,user_00469,新的电视很生气，性价比很低。,2025-01-02 20:04:46,2025-01-02,微博,26,0,6
comment_000421,user_00186,今天天气很满意，适合去了健身房。,2025-01-02 20:26:34,2025-01-02,优酷,300,85,82
comment_003560,user_00878,这个休闲游戏很糟糕，玩得很生气。,2025-01-02 20:41:51,2025-01-02,美拍,26,2,8
comment_002011,user_00041,这个俱乐部很差，表现很差！,2025-01-02 21:22:51,2025-01-02,火山小视频,46,6,7
comment_003823,user_00932,生了宝宝太差劲了，浪费时间。,2025-01-02 22:09:51,2025-01-02,映客,11,5,1
comment_000666,user_00265,这个代表团很精彩，表现出色！,2025-01-02 23:09:58,2025-01-02,百度贴吧,910,282,303
comment_002339,user_00562,这个产品真的很棒，很满意！,2025-01-03 00:00:48,2025-01-03,微博,246,117,48
comment_005049,user_00332,这个游戏软件很精彩，体验很好。,2025-01-03 00:06:45,2025-01-03,美拍,83,9,27
comment_003444,user_00885,这个产品真的很差，很糟心！,2025-01-03 00:09:53,2025-01-03,百度贴吧,100,28,29
comment_004210,user_00794,这个报道没什么特别，没什么特别的。,2025-01-03 00:31:23,2025-01-03,小咖秀,460,143,5
comment_005876,user_00260,今天听了音乐，很赞。,2025-01-03 00:53:25,2025-01-03,微博,680,174,104
comment_001076,user_00759,这位设计师太太棒了了，支持！,2025-01-03 05:25:53,2025-01-03,秒拍,728,333,137
comment_000098,user_00673,新的路由器太差劲了，性价比很低。,2025-01-03 06:55:59,2025-01-03,微博,65,16,13
comment_002456,user_00902,这个导演太很开心了，支持！,2025-01-03 07:22:04,2025-01-03,小咖秀,423,155,69
comment_003841,user_00917,这个模拟游戏很给力，玩得很尽兴。,2025-01-03 09:28:37,2025-01-03,小红书,901,410,231
comment_002995,user_00360,今天的寿司很优秀，推荐大家尝试。,2025-01-03 09:34:03,2025-01-03,百度贴吧,597,144,104
comment_003117,user_00396,这个音乐节很给力，单曲循环了。,2025-01-03 10:41:10,2025-01-03,抖音,537,16,110
comment_001572,user_00842,这本心理学书很出色，值得一读。,2025-01-03 13:51:55,2025-01-03,小咖秀,787,328,203
comment_000630,user_00588,这本哲学书很满意，值得一读。,2025-01-03 15:35:02,2025-01-03,腾讯视频,578,100,37
comment_005878,user_00168,这位歌手太很糟糕了，很失望。,2025-01-03 16:37:36,2025-01-03,映客,60,24,2
comment_004494,user_00049,这个音乐厅寻常，和预期差不多。,2025-01-03 16:42:10,2025-01-03,微博,173,44,41
comment_004276,user_00286,压岁钱没什么特别，收了但没惊喜。,2025-01-03 18:00:21,2025-01-03,芒果TV,82,15,2
comment_002679,user_00740,这个EP普通，听过就忘了。,2025-01-03 20:33:53,2025-01-03,知乎,97,6,20
comment_002884,user_00752,这个酒店很优秀，下次还要来。,2025-01-03 23:00:13,2025-01-03,火山小视频,880,400,195
comment_000791,user_00573,这个质量很糟，没解决我的问题。,2025-01-04 00:48:52,2025-01-04,小咖秀,2,0,0
comment_002836,user_00349,这个政治家的表现寻常，一般般。,2025-01-04 01:17:26,2025-01-04,腾讯视频,500,6,147
comment_001190,user_00681,这个办公软件很棒，体验很好。,2025-01-04 01:38:47,2025-01-04,微博,386,97,23
comment_004283,user_00135,这部电影太差劲了，看得很无聊。,2025-01-04 02:08:14,2025-01-04,知乎,82,3,3
comment_001804,user_00735,今天天气没什么特别，不影响计划。,2025-01-04 02:30:06,2025-01-04,芒果TV,306,3,76
comment_003375,user_00197,新的手表很完美，性价比很高。,2025-01-04 04:15:10,2025-01-04,小咖秀,883,318,165
comment_001617,user_00890,买了新房子很优秀，很有意义。,2025-01-04 08:07:51,2025-01-04,美拍,970,443,256
comment_004673,user_00953,索尼的服务没什么特别，中规中矩。,2025-01-04 09:32:00,2025-01-04,B站,479,97,52
comment_003810,user_00144,这个材质普通，可用但不常用。,2025-01-04 11:02:58,2025-01-04,微信,123,28,25
comment_002620,user_00149,这个产品真的很差，很糟糕！,2025-01-04 12:46:19,2025-01-04,微信,49,6,1
comment_002576,user_00468,今天看了直播，很惊艳。,2025-01-04 13:23:37,2025-01-04,百度贴吧,932,12,98
comment_002569,user_00856,今天的火锅很给力，推荐大家尝试。,2025-01-04 14:54:24,2025-01-04,优酷,82,29,11
comment_003238,user_00968,这个图书馆很惊艳，下次还要来。,2025-01-04 16:21:20,2025-01-04,西瓜视频,457,148,120
comment_001459,user_00842,今天的烧烤普通，没什么亮点。,2025-01-04 16:30:35,2025-01-04,秒拍,214,66,1
comment_000035,user_00440,今天参加了聚会，一切正常。,2025-01-04 17:50:13,2025-01-04,火山小视频,6,2,0
comment_005294,user_00662,今天的麻辣烫一般化，没什么亮点。,2025-01-04 18:42:55,2025-01-04,优酷,25,3,8
comment_002181,user_00846,礼盒寻常，收了但没惊喜。,2025-01-04 19:31:01,2025-01-04,腾讯视频,147,54,10
comment_000571,user_00080,字节跳动的服务太棒了，很满意。,2025-01-04 21:06:48,2025-01-04,小红书,120,30,33
comment_001875,user_00500,这个海滩很糟，下次不会来了。,2025-01-04 22:45:30,2025-01-04,秒拍,5,0,1
comment_000785,user_00019,麦当劳的服务平淡，中规中矩。,2025-01-05 00:27:57,2025-01-05,映客,96,20,9
comment_005085,user_00664,这个产品真的很棒，太棒了！,2025-01-05 00:53:18,2025-01-05,知乎,534,215,45
comment_002848,user_00650,今天的中餐很差，不推荐。,2025-01-05 03:13:27,2025-01-05,微博,23,11,5
comment_000411,user_00290,这个射击游戏很精彩，玩得很尽兴。,2025-01-05 04:52:06,2025-01-05,映客,115,31,2
comment_000264,user_00398,支付服务没什么特别，基本满足需求。,2025-01-05 06:14:01,2025-01-05,微信,296,78,63
comment_001843,user_00987,必胜客的服务很不爽，太差劲了。,2025-01-05 06:36:17,2025-01-05,映客,41,20,9
comment_003462,user_00266,今天读了书，很无聊，很失望。,2025-01-05 06:51:20,2025-01-05,腾讯视频,8,0,1
comment_003781,user_00336,生日礼物很棒，收到很开心。,2025-01-05 08:03:37,2025-01-05,快手,574,118,162
comment_005919,user_00090,这个这个设计一般般，没什么感觉。,2025-01-05 08:15:34,2025-01-05,秒拍,375,70,35
comment_005950,user_00082,礼物很棒，收到很开心。,2025-01-05 08:45:25,2025-01-05,秒拍,346,157,30
comment_000504,user_00866,这支乐队寻常，表现平平。,2025-01-05 10:21:14,2025-01-05,优酷,306,26,34
comment_004584,user_00103,这个联盟很棒，表现出色！,2025-01-05 10:54:57,2025-01-05,芒果TV,290,88,42
comment_002402,user_00318,这个机构很糟糕，表现很差！,2025-01-05 11:18:51,2025-01-05,腾讯视频,82,40,14
comment_001307,user_00087,快递服务很糟心，一星差评！,2025-01-05 12:22:23,2025-01-05,西瓜视频,25,3,7
comment_005923,user_00175,这个这个假设很糟糕，很糟糕。,2025-01-05 13:04:21,2025-01-05,快手,67,15,11
comment_002651,user_00509,这个这个提议寻常，没什么感觉。,2025-01-05 14:23:54,2025-01-05,豆瓣,325,76,59
comment_004018,user_00047,今天的烧烤中规中矩，没什么亮点。,2025-01-05 14:58:04,2025-01-05,知乎,168,69,10
comment_001365,user_00961,这个音乐厅很棒，下次还要来。,2025-01-05 15:08:40,2025-01-05,芒果TV,558,237,145
comment_005689,user_00467,这个项目组一般化，表现平平。,2025-01-05 15:48:40,2025-01-05,B站,377,145,49
comment_002110,user_00614,这个这个建议太棒了，很有创意。,2025-01-05 17:01:16,2025-01-05,今日头条,456,153,117
comment_001937,user_00620,今天的韩餐太差劲了，不推荐。,2025-01-05 17:10:30,2025-01-05,今日头条,24,3,1
comment_000888,user_00522,这个功能很糟，没解决我的问题。,2025-01-05 17:26:25,2025-01-05,西瓜视频,21,2,5
comment_001880,user_00668,终于去了新地方了，很精彩！,2025-01-05 18:16:39,2025-01-05,知乎,312,121,28
comment_004569,user_00537,维修服务太差劲了，一星差评！,2025-01-05 21:24:48,2025-01-05,美拍,59,8,5
comment_004932,user_00626,京东的服务普通，中规中矩。,2025-01-05 21:32:09,2025-01-05,小咖秀,475,40,1
comment_001147,user_00718,今天的蛋糕很满意，推荐大家尝试。,2025-01-05 21:37:11,2025-01-05,百度贴吧,539,130,68
comment_001263,user_00268,今天的烧烤很满意，推荐大家尝试。,2025-01-05 23:03:35,2025-01-05,今日头条,31,1,1
comment_001028,user_00131,今天学了新技能，很糟糕，很失望。,2025-01-06 00:43:17,2025-01-06,秒拍,88,19,8
comment_002945,user_00112,谷歌的服务很优秀，很满意。,2025-01-06 05:19:14,2025-01-06,火山小视频,700,116,115
comment_001390,user_00670,收到快递很糟心，浪费时间。,2025-01-06 15:28:51,2025-01-06,西瓜视频,7,1,1
comment_000204,user_00327,今天的奶茶很讨厌，不推荐。,2025-01-06 17:27:14,2025-01-06,快手,70,29,7
comment_003494,user_00692,培训服务很满意，五星好评！,2025-01-06 18:02:25,2025-01-06,优酷,231,104,23
comment_001389,user_00674,这个性能很烂，没解决我的问题。,2025-01-06 18:40:21,2025-01-06,B站,86,10,20
comment_003573,user_00479,今天的日料太差劲了，不推荐。,2025-01-06 19:05:13,2025-01-06,映客,47,2,8
comment_001756,user_00273,终于通过了考试了，很出色！,2025-01-06 19:28:50,2025-01-06,美拍,859,242,267
comment_005490,user_00040,生了宝宝了，没什么特别的感觉。,2025-01-06 19:37:14,2025-01-06,爱奇艺,480,33,111
comment_002824,user_00243,今天的冰淇淋没什么特别，没什么亮点。,2025-01-06 19:38:06,2025-01-06,百度贴吧,401,166,110
comment_005238,user_00685,赠品很赞，收到很开心。,2025-01-06 20:13:36,2025-01-06,优酷,328,91,39
comment_003979,user_00648,这个学习软件很糟心，体验很差。,2025-01-06 20:38:24,2025-01-06,火山小视频,22,10,4
comment_005850,user_00604,这个休闲游戏很赞，玩得很尽兴。,2025-01-06 20:41:22,2025-01-06,芒果TV,102,40,12
comment_005367,user_00176,这个机构没什么特别，表现平平。,2025-01-06 21:11:37,2025-01-06,B站,116,37,35
comment_004377,user_00758,这个工具很好，体验很好。,2025-01-06 22:55:32,2025-01-06,优酷,242,62,28
comment_001675,user_00751,买了新车寻常，可有可无。,2025-01-07 00:02:11,2025-01-07,西瓜视频,454,87,146
comment_003986,user_00469,这个质量很糟糕，没解决我的问题。,2025-01-07 00:38:58,2025-01-07,百度贴吧,21,3,6
comment_003498,user_00797,这个意见中规中矩，没什么特别的。,2025-01-07 07:10:47,2025-01-07,微博,283,28,16
comment_001616,user_00915,今天天气中规中矩，不影响计划。,2025-01-07 07:44:28,2025-01-07,抖音,455,114,3
comment_005357,user_00528,这个组合很糟心，表现很差！,2025-01-07 08:31:35,2025-01-07,美拍,24,9,4
comment_004487,user_00721,今天吃了火锅，一切正常。,2025-01-07 09:49:29,2025-01-07,豆瓣,34,16,10
comment_001736,user_00696,这部文艺片很好，看得很开心。,2025-01-07 10:14:51,2025-01-07,抖音,466,114,137
comment_004137,user_00851,这本随笔一般般，可读可不读。,2025-01-07 11:08:25,2025-01-07,百度贴吧,136,21,19
comment_000499,user_00552,这个兼容性很喜欢，解决了我的问题。,2025-01-07 12:06:37,2025-01-07,知乎,452,187,65
comment_004164,user_00048,这个射击游戏很糟，玩得很生气。,2025-01-07 12:51:33,2025-01-07,腾讯视频,82,6,10
comment_000501,user_00475,今天天气很完美，适合做了瑜伽。,2025-01-07 14:00:12,2025-01-07,秒拍,816,353,67
comment_001714,user_00260,这部历史片普通，没什么印象。,2025-01-07 15:22:42,2025-01-07,腾讯视频,6,0,0
comment_003759,user_00298,这个学习软件很糟糕，体验很差。,2025-01-07 15:32:35,2025-01-07,豆瓣,70,16,4
comment_004344,user_00335,认识了新朋友了，没什么特别的感觉。,2025-01-07 15:48:02,2025-01-07,爱奇艺,195,74,65
comment_002647,user_00164,新的智能音箱一般，能用但不算好。,2025-01-07 18:03:34,2025-01-07,B站,212,56,8
comment_004278,user_00873,百度的服务普通，中规中矩。,2025-01-07 18:05:01,2025-01-07,微信,264,99,20
comment_000274,user_00817,新的扫地机器人很开心，性价比很高。,2025-01-07 19:49:03,2025-01-07,爱奇艺,23,9,4
comment_005109,user_00174,测试服务寻常，基本满足需求。,2025-01-07 20:06:37,2025-01-07,西瓜视频,321,7,76
comment_000552,user_00907,终于升职了了，很给力！,2025-01-07 21:56:08,2025-01-07,芒果TV,341,107,79
comment_004368,user_00138,找到了工作平淡，可有可无。,2025-01-07 22:22:51,2025-01-07,腾讯视频,157,65,37
comment_001722,user_00611,这个性价比一般般，可用但不常用。,2025-01-07 22:28:14,2025-01-07,秒拍,92,10,17
comment_001686,user_00894,这个爵士很满意，单曲循环了。,2025-01-08 02:28:44,2025-01-08,微博,934,94,298
comment_000963,user_00036,这个报道一般，没什么特别的。,2025-01-08 02:52:36,2025-01-08,抖音,195,19,13
comment_002542,user_00054,星巴克的服务很失望，太差劲了。,2025-01-08 05:03:11,2025-01-08,知乎,38,17,6
comment_002883,user_00950,这个外观一般般，可用但不常用。,2025-01-08 05:10:37,2025-01-08,美拍,216,53,10
comment_003896,user_00207,这个安全性很出色，解决了我的问题。,2025-01-08 07:25:44,2025-01-08,快手,955,229,288
comment_002485,user_00799,今天天气很精彩，适合看了直播。,2025-01-08 10:39:21,2025-01-08,抖音,748,68,139
comment_001944,user_00684,这个博物馆很糟心，下次不会来了。,2025-01-08 11:16:38,2025-01-08,快手,45,15,12
comment_003788,user_00188,这个项目组很精彩，表现出色！,2025-01-08 12:47:02,2025-01-08,微博,231,0,69
comment_005190,user_00954,这个产品真的很棒，太棒了！,2025-01-08 13:35:33,2025-01-08,爱奇艺,169,15,18
comment_003365,user_00037,今天去了图书馆，很糟心，很失望。,2025-01-08 15:47:57,2025-01-08,映客,11,3,3
comment_005824,user_00595,新的相机很烦人，性价比很低。,2025-01-08 17:39:02,2025-01-08,爱奇艺,26,10,3
comment_001812,user_00656,这个休闲游戏平平，玩了但没上瘾。,2025-01-08 17:48:19,2025-01-08,小红书,211,59,16
comment_003924,user_00066,今天的火锅太差劲了，不推荐。,2025-01-08 23:55:43,2025-01-08,映客,9,0,2
comment_004895,user_00364,新的电子书很烂，性价比很低。,2025-01-09 00:07:57,2025-01-09,腾讯视频,66,33,10
comment_003387,user_00040,这个博物馆很优秀，下次还要来。,2025-01-09 00:36:18,2025-01-09,映客,440,199,122
comment_000719,user_00842,这个科学家的表现普通，一般般。,2025-01-09 00:44:22,2025-01-09,西瓜视频,20,3,0
comment_002223,user_00260,这个资讯寻常，没什么特别的。,2025-01-09 03:19:23,2025-01-09,小咖秀,491,31,127
comment_002663,user_00890,今天玩了桌游，很开心。,2025-01-09 04:17:38,2025-01-09,抖音,447,92,82
comment_001062,user_00436,这个这个理论太棒了，很有创意。,2025-01-09 04:19:19,2025-01-09,映客,901,353,288
comment_003488,user_00933,这个摇滚歌很生气，听了一遍就不想再听。,2025-01-09 05:16:34,2025-01-09,映客,86,4,14
comment_004077,user_00703,咨询服务很精彩，五星好评！,2025-01-09 06:25:25,2025-01-09,映客,553,33,113
comment_000227,user_00173,阿里的服务很满意，很满意。,2025-01-09 06:28:02,2025-01-09,芒果TV,350,175,40
comment_006000,user_00678,阿里的服务很精彩，很满意。,2025-01-09 08:23:45,2025-01-09,知乎,675,311,181
comment_002699,user_00768,这部动作片太棒了，看得很开心。,2025-01-09 08:57:13,2025-01-09,快手,725,155,229
comment_004444,user_00534,今天的小龙虾平平，没什么亮点。,2025-01-09 11:12:43,2025-01-09,B站,320,65,43
comment_000640,user_00920,今天逛了商场，一切正常。,2025-01-09 12:52:36,2025-01-09,秒拍,274,91,74
comment_001364,user_00037,这个警告平平，没什么特别的。,2025-01-09 16:24:52,2025-01-09,优酷,289,112,73
comment_002460,user_00623,这个体育馆一般，和预期差不多。,2025-01-09 16:34:21,2025-01-09,微信,123,12,22
comment_001237,user_00421,今天的冰淇淋很开心，推荐大家尝试。,2025-01-09 17:43:20,2025-01-09,小咖秀,682,271,70
comment_001101,user_00598,今天天气很优秀，适合逛了商场。,2025-01-09 18:32:46,2025-01-09,今日头条,951,432,38
comment_002445,user_00617,压岁钱平平，收了但没惊喜。,2025-01-09 18:35:02,2025-01-09,爱奇艺,193,4,30
comment_000433,user_00848,索尼的服务很失望，太差劲了。,2025-01-09 19:38:31,2025-01-09,美拍,81,12,9
comment_000903,user_00135,这首歌平平，听过就忘了。,2025-01-09 23:34:55,2025-01-09,芒果TV,27,1,0
comment_002156,user_00757,这个颁奖典礼很糟，听了一遍就不想再听。,2025-01-10 00:29:50,2025-01-10,微信,81,34,0
comment_002841,user_00524,退休了很不爽，浪费时间。,2025-01-10 00:50:16,2025-01-10,秒拍,5,1,0
comment_000881,user_00197,这本科技书很生气，不值得读。,2025-01-10 02:51:30,2025-01-10,豆瓣,80,35,20
comment_000340,user_00749,今天去了公园，很失望，很失望。,2025-01-10 03:48:40,2025-01-10,今日头条,17,7,4
comment_005094,user_00690,今天天气很无聊，影响了计划。,2025-01-10 05:30:18,2025-01-10,美拍,35,9,2
comment_004453,user_00840,加薪了很失望，浪费时间。,2025-01-10 05:45:16,2025-01-10,西瓜视频,49,10,7
comment_003614,user_00400,这部科幻片中规中矩，没什么印象。,2025-01-10 06:18:26,2025-01-10,美拍,265,88,2
comment_002526,user_00881,今天的拉面很糟糕，不推荐。,2025-01-10 06:24:48,2025-01-10,西瓜视频,61,24,2
comment_001925,user_00394,这个游戏软件平淡，能用但有缺陷。,2025-01-10 07:06:43,2025-01-10,小红书,353,89,26
comment_003418,user_00507,这个这个方案很棒，很有创意。,2025-01-10 10:50:12,2025-01-10,秒拍,666,39,202
comment_003970,user_00765,终于完成了项目了，很给力！,2025-01-10 10:59:55,2025-01-10,小红书,926,197,114
comment_004310,user_00459,这个经典老歌很失望，听了一遍就不想再听。,2025-01-10 11:00:29,2025-01-10,美拍,23,3,2
comment_003204,user_00390,客服服务很糟，一星差评！,2025-01-10 14:55:07,2025-01-10,秒拍,19,5,6
comment_001032,user_00600,这本哲学书很烂，不值得读。,2025-01-10 14:56:23,2025-01-10,知乎,81,17,5
comment_000298,user_00769,这个组织很完美，表现出色！,2025-01-10 15:31:33,2025-01-10,优酷,475,148,97
comment_003055,user_00884,这部文艺片很糟，看得很无聊。,2025-01-10 17:55:27,2025-01-10,美拍,58,8,2
comment_002635,user_00424,客服服务太棒了，五星好评！,2025-01-10 22:41:11,2025-01-10,小咖秀,925,108,73
comment_003723,user_00157,买了新房子没什么特别，可有可无。,2025-01-11 00:34:38,2025-01-11,今日头条,337,146,22
comment_002118,user_00552,今天的冰淇淋很糟，不推荐。,2025-01-11 01:50:54,2025-01-11,火山小视频,34,16,1
comment_000111,user_00587,这个养成游戏很烦人，玩得很生气。,2025-01-11 11:25:21,2025-01-11,火山小视频,57,26,7
comment_000108,user_00921,今天的烧烤很优秀，推荐大家尝试。,2025-01-11 12:20:04,2025-01-11,火山小视频,127,47,27
comment_000015,user_00498,订阅服务很精彩，五星好评！,2025-01-11 12:28:28,2025-01-11,映客,968,178,35
comment_005153,user_00776,京东的服务普通，中规中矩。,2025-01-11 13:25:31,2025-01-11,知乎,10,4,0
comment_004437,user_00642,这个乐队一般，听过就忘了。,2025-01-11 15:44:05,2025-01-11,微博,268,51,86
comment_004402,user_00309,这个这个理念很满意，很有创意。,2025-01-11 15:49:44,2025-01-11,秒拍,949,183,205
comment_002514,user_00473,这个这个思路很差，很糟糕。,2025-01-11 17:58:46,2025-01-11,今日头条,84,13,11
comment_003998,user_00047,这本哲学书很给力，值得一读。,2025-01-11 20:44:00,2025-01-11,知乎,673,24,171
comment_003165,user_00474,这个餐厅很给力，下次还要来。,2025-01-11 21:37:09,2025-01-11,小咖秀,282,44,72
comment_004125,user_00965,这本经济书很满意，值得一读。,2025-01-11 22:44:23,2025-01-11,火山小视频,366,78,42
comment_001331,user_00345,新的游戏机没什么特别，能用但不算好。,2025-01-11 23:39:49,2025-01-11,知乎,150,36,29
comment_003930,user_00852,这部冒险片很烦人，看得很无聊。,2025-01-12 01:27:47,2025-01-12,快手,53,16,0
comment_001814,user_00392,退休礼物一般般，收了但没惊喜。,2025-01-12 04:53:54,2025-01-12,微信,500,20,37
comment_002288,user_00484,生日礼物普通，收了但没惊喜。,2025-01-12 05:21:39,2025-01-12,抖音,210,4,19
comment_005643,user_00554,这个策略游戏太棒了，玩得很尽兴。,2025-01-12 07:12:29,2025-01-12,西瓜视频,607,131,200
comment_000023,user_00969,这个这个概念没什么特别，没什么感觉。,2025-01-12 13:07:24,2025-01-12,西瓜视频,495,195,132
comment_001708,user_00370,这部喜剧片中规中矩，没什么印象。,2025-01-12 13:35:23,2025-01-12,豆瓣,49,14,0
comment_005670,user_00272,今天天气很精彩，适合去了公园。,2025-01-12 14:35:07,2025-01-12,秒拍,571,127,9
comment_003463,user_00535,完成了任务没什么特别，可有可无。,2025-01-12 14:43:03,2025-01-12,腾讯视频,191,25,50
comment_004337,user_00001,这部爱情片很满意，看得很开心。,2025-01-12 16:01:45,2025-01-12,映客,387,192,2
comment_002229,user_00038,新的手表很给力，性价比很高。,2025-01-12 18:11:48,2025-01-12,微博,666,258,31
comment_001041,user_00596,新的耳机很糟心，性价比很低。,2025-01-12 20:39:13,2025-01-12,西瓜视频,7,0,2
comment_000874,user_00009,这位设计师太很生气了，很失望。,2025-01-12 22:17:05,2025-01-12,抖音,88,30,24
comment_002028,user_00892,今天天气太棒了，适合去了旅行。,2025-01-12 22:29:13,2025-01-12,腾讯视频,32,9,10
comment_002930,user_00492,这个包装一般般，可用但不常用。,2025-01-12 23:11:58,2025-01-12,秒拍,280,55,66
comment_000992,user_00142,京东的服务很喜欢，很满意。,2025-01-13 00:30:05,2025-01-13,映客,858,308,249
comment_004809,user_00887,设计服务很赞，五星好评！,2025-01-13 00:51:37,2025-01-13,优酷,703,75,131
comment_004756,user_00770,终于尝试了新事物了，太棒了！,2025-01-13 00:52:51,2025-01-13,百度贴吧,528,220,63
comment_003038,user_00208,这部电影寻常，没什么印象。,2025-01-13 01:46:55,2025-01-13,爱奇艺,251,106,26
comment_002117,user_00211,尝试了新事物很无聊，浪费时间。,2025-01-13 04:52:22,2025-01-13,爱奇艺,27,5,0
comment_005895,user_00717,拼多多的服务很失望，太差劲了。,2025-01-13 05:09:31,2025-01-13,映客,1,0,0
comment_005099,user_00426,新的平板很好，性价比很高。,2025-01-13 05:53:59,2025-01-13,微信,284,71,86
comment_005205,user_00603,这个流行歌没什么特别，听过就忘了。,2025-01-13 09:41:26,2025-01-13,映客,23,10,6
comment_000679,user_00013,售后服很生气，一星差评！,2025-01-13 09:45:23,2025-01-13,小红书,10,3,0
comment_003110,user_00570,开始了新工作很糟，浪费时间。,2025-01-13 10:51:41,2025-01-13,B站,94,9,14
comment_003714,user_00868,这个安全性一般般，可用但不常用。,2025-01-13 11:02:15,2025-01-13,豆瓣,473,127,74
comment_004538,user_00829,今天做了运动，太棒了。,2025-01-13 11:05:02,2025-01-13,映客,821,13,99
comment_000220,user_00480,今天天气太棒了，适合听了音乐。,2025-01-13 12:52:25,2025-01-13,知乎,657,277,168
comment_005677,user_00216,这个提醒一般化，没什么特别的。,2025-01-13 14:42:18,2025-01-13,秒拍,401,11,48
comment_002398,user_00457,今天天气很好，适合逛了超市。,2025-01-13 17:16:31,2025-01-13,火山小视频,266,58,66
comment_001061,user_00643,谷歌的服务很精彩，很满意。,2025-01-13 19:33:26,2025-01-13,美拍,702,184,181
comment_005059,user_00131,这个重量很给力，解决了我的问题。,2025-01-13 20:03:35,2025-01-13,抖音,887,279,101
comment_001550,user_00272,今天看了电影，很完美。,2025-01-13 20:58:49,2025-01-13,快手,991,209,156
